user_id,content_id,watch_date,watch_duration,device_type
U0562,C0190,2024-06-16,57,Mobile
U0606,C0364,2023-08-01,85,Mobile
U0009,C0170,2023-10-13,51,Smart TV
U0959,C0431,2023-11-17,48,Mobile
U0045,C0241,2024-05-06,63,Laptop
U0987,C0491,2023-07-22,61,Mobile
U0028,C0003,2022-12-09,43,Tablet
U0409,C0058,2022-08-13,43,Desktop
U0693,C0202,2024-04-07,88,Tablet
U0724,C0145,2020-07-03,30,Mobile
U0722,C0089,2023-11-08,66,Smart TV
U0352,C0458,2023-11-30,95,Smart TV
U0508,C0388,2024-06-13,36,Desktop
U0373,C0100,2024-01-12,77,Tablet
U0977,C0411,2023-12-16,56,Smart TV
U0450,C0345,2022-12-26,51,Laptop
U0938,C0346,2023-03-04,96,Laptop
U0777,C0480,2024-02-08,57,Tablet
U0906,C0289,2024-01-11,76,Laptop
U0875,C0135,2021-01-30,43,Desktop
U0436,C0317,2023-09-11,22,Smart TV
U0982,C0110,2024-04-09,100,Laptop
U0674,C0031,2023-05-05,94,Laptop
U0490,C0402,2023-12-28,58,Desktop
U0140,C0345,2023-10-16,93,Smart TV
U0651,C0065,2022-04-12,84,Tablet
U0981,C0118,2024-03-28,10,Smart TV
U0121,C0292,2024-02-01,57,Desktop
U0673,C0065,2023-07-17,60,Desktop
U0411,C0482,2024-05-08,96,Tablet
U0363,C0234,2020-08-07,82,Laptop
U0117,C0216,2023-01-28,55,Mobile
U0228,C0232,2023-03-05,78,Tablet
U0711,C0400,2023-07-01,26,Mobile
U0935,C0200,2024-06-08,72,Tablet
U0110,C0103,2022-04-09,53,Smart TV
U0667,C0069,2024-01-18,86,Laptop
U0625,C0046,2024-04-17,62,Smart TV
U0672,C0029,2023-06-22,36,Laptop
U0450,C0459,2021-10-03,99,Tablet
U0339,C0324,2023-11-15,84,Tablet
U0220,C0134,2024-05-21,82,Laptop
U0471,C0128,2024-06-28,39,Smart TV
U0619,C0345,2024-06-12,72,Smart TV
U0284,C0390,2024-03-13,63,Laptop
U0169,C0257,2021-05-01,85,Laptop
U0694,C0133,2023-06-17,72,Smart TV
U0178,C0426,2023-12-18,55,Mobile
U0064,C0320,2022-08-30,75,Smart TV
U0132,C0468,2024-05-29,71,Laptop
U0540,C0394,2023-12-28,136,Mobile
U0819,C0487,2023-06-13,36,Mobile
U0555,C0411,2023-05-13,0,Laptop
U0232,C0352,2022-03-29,0,Mobile
U0586,C0337,2022-08-21,70,Mobile
U0712,C0308,2023-03-03,75,Tablet
U0218,C0340,2022-07-01,88,Desktop
U0089,C0065,2024-02-13,71,Tablet
U0232,C0260,2023-02-17,58,Tablet
U0437,C0122,2024-04-21,29,Smart TV
U0121,C0297,2024-02-11,78,Tablet
U0667,C0167,2023-11-21,9,Laptop
U0521,C0097,2024-04-20,109,Laptop
U0156,C0354,2021-09-11,58,Smart TV
U0442,C0203,2022-02-27,38,Tablet
U0064,C0235,2023-08-26,89,Tablet
U0957,C0365,2023-07-21,33,Smart TV
U0316,C0160,2021-09-25,26,Tablet
U0055,C0163,2024-04-10,58,Laptop
U0851,C0012,2024-05-21,42,Smart TV
U0042,C0223,2024-04-08,92,Mobile
U0554,C0298,2023-08-05,87,Tablet
U0944,C0395,2022-08-03,61,Laptop
U0148,C0004,2023-07-27,109,Laptop
U0660,C0458,2023-10-26,134,Desktop
U0901,C0160,2022-04-25,23,Desktop
U0329,C0266,2022-01-06,87,Desktop
U0402,C0276,2024-01-31,16,Mobile
U0067,C0053,2022-10-02,73,Smart TV
U0496,C0167,2024-02-01,71,Laptop
U0040,C0193,2020-12-05,68,Desktop
U0864,C0385,2024-04-22,57,Laptop
U0034,C0468,2021-05-05,51,Tablet
U0769,C0310,2022-11-28,71,Tablet
U0176,C0043,2022-01-07,16,Laptop
U0859,C0045,2023-02-13,29,Laptop
U0606,C0276,2024-04-01,83,Smart TV
U0839,C0397,2024-05-16,8,Laptop
U0935,C0053,2023-08-10,69,Tablet
U0182,C0213,2022-12-27,52,Desktop
U0776,C0083,2020-12-23,33,Desktop
U0995,C0467,2023-11-20,45,Smart TV
U0250,C0176,2023-03-12,62,Tablet
U0932,C0006,2023-02-16,77,Tablet
U0437,C0060,2024-01-06,75,Laptop
U0251,C0356,2021-08-07,63,Laptop
U0177,C0304,2023-10-12,53,Laptop
U0750,C0500,2022-01-06,59,Desktop
U0940,C0324,2023-05-22,43,Mobile
U0610,C0360,2022-10-26,74,Mobile
U0188,C0147,2022-11-10,127,Smart TV
U0416,C0134,2024-06-28,75,Laptop
U0581,C0262,2022-10-29,76,Smart TV
U0749,C0363,2022-04-11,68,Smart TV
U0335,C0167,2021-12-13,39,Mobile
U0144,C0294,2023-12-23,45,Mobile
U0188,C0190,2022-08-20,98,Laptop
U0523,C0459,2023-05-16,51,Tablet
U0505,C0292,2024-06-09,47,Smart TV
U0703,C0468,2023-06-29,96,Mobile
U0289,C0452,2023-09-29,40,Mobile
U0914,C0441,2021-10-17,25,Mobile
U0262,C0381,2023-02-18,58,Tablet
U0082,C0479,2023-07-06,65,Tablet
U0099,C0280,2022-04-26,78,Desktop
U0531,C0159,2022-08-19,28,Desktop
U0013,C0156,2022-02-24,3,Laptop
U0349,C0133,2024-03-23,84,Desktop
U0186,C0318,2022-04-13,88,Tablet
U0298,C0355,2021-10-28,74,Mobile
U0973,C0354,2024-05-16,63,Mobile
U0263,C0255,2021-10-10,74,Mobile
U0238,C0466,2021-11-15,68,Desktop
U0905,C0311,2024-01-31,35,Laptop
U0421,C0081,2024-05-04,0,Mobile
U0140,C0460,2023-04-18,46,Laptop
U0658,C0448,2023-07-20,115,Laptop
U0417,C0292,2022-08-24,17,Desktop
U0073,C0339,2024-05-13,30,Mobile
U0009,C0451,2023-03-27,54,Tablet
U0020,C0043,2021-05-16,2,Laptop
U0835,C0390,2023-07-13,60,Smart TV
U0499,C0314,2022-03-10,40,Desktop
U0255,C0428,2023-05-15,80,Smart TV
U0478,C0296,2021-06-16,98,Desktop
U0738,C0343,2022-05-23,75,Laptop
U0642,C0446,2023-07-26,72,Desktop
U0749,C0273,2024-04-25,80,Smart TV
U0365,C0331,2023-08-11,53,Mobile
U0510,C0056,2022-05-13,61,Tablet
U0841,C0105,2022-06-15,73,Tablet
U0455,C0008,2021-11-10,69,Desktop
U0246,C0073,2021-10-29,113,Laptop
U0668,C0408,2022-08-24,72,Tablet
U0803,C0373,2023-05-15,39,Tablet
U0907,C0266,2023-11-10,49,Smart TV
U0165,C0339,2024-04-13,73,Tablet
U0983,C0172,2021-12-04,82,Tablet
U0880,C0397,2022-10-31,108,Tablet
U0519,C0238,2023-09-19,41,Mobile
U0200,C0215,2022-10-15,68,Desktop
U0478,C0280,2024-01-18,91,Mobile
U0313,C0265,2024-06-29,125,Desktop
U0136,C0059,2024-05-04,113,Desktop
U0969,C0005,2022-08-26,42,Laptop
U0827,C0449,2022-04-15,18,Desktop
U0019,C0090,2024-04-27,54,Smart TV
U0578,C0403,2023-08-22,26,Laptop
U0386,C0077,2023-06-11,58,Laptop
U0116,C0190,2022-12-30,66,Desktop
U0499,C0196,2022-11-29,61,Desktop
U0799,C0405,2023-04-02,93,Laptop
U0139,C0081,2023-06-09,88,Laptop
U0219,C0088,2023-05-20,19,Smart TV
U0835,C0479,2023-03-26,38,Laptop
U0265,C0242,2021-01-07,36,Mobile
U0518,C0063,2023-06-03,56,Tablet
U0284,C0434,2022-06-26,93,Desktop
U0670,C0263,2023-09-16,52,Laptop
U0455,C0430,2020-05-10,114,Smart TV
U0403,C0008,2023-02-02,108,Mobile
U0929,C0346,2024-06-20,85,Desktop
U0174,C0131,2023-03-31,24,Smart TV
U0737,C0320,2021-09-17,71,Smart TV
U0480,C0221,2024-03-29,54,Smart TV
U0574,C0098,2024-02-12,44,Laptop
U0480,C0231,2023-11-08,94,Smart TV
U0976,C0249,2023-04-05,64,Desktop
U0701,C0208,2022-12-28,0,Mobile
U0471,C0088,2021-01-29,59,Desktop
U0016,C0150,2023-04-25,95,Tablet
U0769,C0495,2021-11-28,32,Laptop
U0573,C0338,2020-12-19,63,Desktop
U0774,C0124,2024-05-03,28,Laptop
U0160,C0024,2023-03-22,49,Laptop
U0612,C0473,2023-07-21,92,Desktop
U0213,C0120,2023-10-05,51,Tablet
U0870,C0409,2023-01-31,65,Desktop
U0545,C0083,2024-01-03,57,Desktop
U0080,C0042,2022-07-02,82,Smart TV
U0389,C0125,2024-06-08,72,Tablet
U0029,C0204,2023-02-20,82,Desktop
U0131,C0167,2023-08-28,40,Mobile
U0232,C0359,2022-05-14,27,Mobile
U0119,C0073,2023-05-21,33,Smart TV
U0518,C0454,2022-11-13,3,Smart TV
U0260,C0166,2024-03-01,98,Tablet
U0877,C0269,2022-08-13,103,Tablet
U0262,C0123,2022-02-18,42,Mobile
U0285,C0408,2023-03-11,127,Desktop
U0849,C0094,2021-06-17,43,Laptop
U0559,C0106,2022-04-28,98,Smart TV
U0016,C0363,2021-04-05,43,Desktop
U0344,C0130,2022-10-11,73,Mobile
U0028,C0345,2023-11-23,77,Laptop
U0031,C0481,2023-09-13,58,Tablet
U0713,C0498,2023-09-05,66,Desktop
U0094,C0112,2022-12-17,46,Smart TV
U0645,C0055,2024-02-27,37,Smart TV
U0041,C0055,2023-10-27,91,Mobile
U0579,C0133,2022-08-07,17,Desktop
U0706,C0332,2023-07-10,97,Smart TV
U0103,C0399,2023-11-10,113,Tablet
U0291,C0423,2024-01-22,11,Mobile
U0351,C0381,2021-05-16,56,Tablet
U0186,C0454,2024-06-28,9,Desktop
U0030,C0139,2023-03-31,72,Tablet
U0016,C0195,2021-03-27,75,Smart TV
U0188,C0290,2022-06-06,61,Laptop
U0859,C0170,2023-12-22,97,Smart TV
U0115,C0247,2024-02-14,60,Smart TV
U0889,C0189,2022-11-13,67,Desktop
U0997,C0043,2022-08-17,61,Tablet
U0752,C0404,2023-08-13,65,Mobile
U0030,C0411,2023-04-11,55,Tablet
U0006,C0081,2023-08-05,9,Tablet
U0403,C0146,2022-11-29,51,Smart TV
U0318,C0420,2020-06-11,99,Mobile
U0431,C0220,2023-12-30,57,Laptop
U0634,C0339,2023-12-13,91,Laptop
U0639,C0407,2023-07-26,104,Desktop
U0025,C0155,2024-06-29,76,Smart TV
U0977,C0457,2023-12-27,76,Smart TV
U0059,C0171,2021-11-27,117,Smart TV
U0151,C0252,2021-02-27,34,Laptop
U0380,C0085,2024-02-05,105,Mobile
U0791,C0228,2024-02-07,83,Smart TV
U0546,C0176,2024-05-03,37,Laptop
U0154,C0178,2022-01-28,90,Smart TV
U0328,C0048,2023-01-15,83,Mobile
U0256,C0250,2024-01-05,54,Smart TV
U0528,C0436,2023-08-26,64,Smart TV
U0861,C0388,2021-10-11,59,Desktop
U0345,C0477,2023-06-02,10,Tablet
U0528,C0133,2023-07-05,81,Desktop
U0588,C0064,2022-07-09,86,Desktop
U0100,C0195,2023-06-30,0,Tablet
U0086,C0373,2022-03-01,49,Smart TV
U0867,C0449,2023-10-18,52,Laptop
U0991,C0475,2022-09-07,75,Tablet
U0390,C0488,2023-12-18,111,Smart TV
U0956,C0394,2023-07-18,105,Mobile
U0327,C0148,2024-06-01,86,Smart TV
U0751,C0022,2023-08-02,32,Smart TV
U0457,C0429,2023-09-04,57,Tablet
U0438,C0143,2020-09-28,63,Mobile
U0387,C0315,2020-09-03,107,Desktop
U0754,C0038,2022-02-06,133,Smart TV
U0079,C0441,2022-06-15,59,Laptop
U0174,C0218,2023-06-01,8,Mobile
U0555,C0396,2023-07-20,99,Laptop
U0998,C0312,2022-12-28,51,Laptop
U0839,C0378,2024-05-18,58,Tablet
U0153,C0364,2023-12-01,73,Desktop
U0892,C0373,2023-10-25,85,Laptop
U0208,C0076,2023-09-14,62,Desktop
U0917,C0091,2022-11-12,69,Tablet
U0786,C0456,2023-04-27,46,Smart TV
U0824,C0122,2023-08-10,76,Mobile
U0030,C0363,2024-01-15,91,Laptop
U0537,C0263,2023-01-18,29,Desktop
U0967,C0126,2021-02-08,90,Smart TV
U0935,C0465,2024-05-24,48,Laptop
U0050,C0476,2023-08-25,21,Mobile
U0771,C0399,2021-05-29,81,Smart TV
U0825,C0084,2023-08-01,64,Laptop
U0640,C0272,2023-05-17,50,Desktop
U0928,C0343,2022-04-11,72,Laptop
U0544,C0005,2023-04-05,130,Tablet
U0684,C0130,2023-10-21,42,Smart TV
U0278,C0102,2023-11-13,55,Tablet
U0476,C0051,2022-07-25,71,Smart TV
U0475,C0286,2021-06-05,67,Smart TV
U0788,C0119,2023-10-17,97,Laptop
U0435,C0217,2023-01-15,32,Smart TV
U0319,C0307,2021-06-15,93,Mobile
U0228,C0116,2023-06-05,84,Smart TV
U0718,C0232,2023-08-25,48,Desktop
U0181,C0463,2023-05-27,88,Mobile
U0133,C0065,2023-10-21,44,Smart TV
U0555,C0437,2023-08-22,17,Mobile
U0825,C0190,2023-04-03,25,Smart TV
U0657,C0284,2022-02-15,62,Smart TV
U0092,C0067,2024-01-17,0,Tablet
U0302,C0180,2021-08-21,85,Laptop
U0187,C0226,2023-04-18,37,Smart TV
U0029,C0383,2023-06-30,38,Smart TV
U0064,C0394,2023-02-01,62,Desktop
U0916,C0438,2023-01-30,84,Desktop
U0965,C0018,2020-11-06,1,Mobile
U0285,C0303,2024-03-04,79,Tablet
U0741,C0018,2023-11-27,69,Laptop
U0089,C0096,2022-10-14,47,Laptop
U0144,C0317,2023-12-01,44,Mobile
U0959,C0005,2023-05-12,84,Laptop
U0434,C0303,2023-05-09,110,Laptop
U0503,C0468,2024-04-23,62,Smart TV
U0001,C0124,2023-11-15,110,Laptop
U0606,C0110,2024-05-11,28,Tablet
U0511,C0231,2023-11-28,92,Smart TV
U0567,C0055,2024-04-20,26,Laptop
U0986,C0161,2023-03-20,91,Mobile
U0737,C0492,2023-06-22,72,Desktop
U0948,C0116,2021-11-08,88,Tablet
U0626,C0273,2023-07-23,88,Smart TV
U0197,C0212,2022-02-01,55,Desktop
U0222,C0179,2022-07-07,2,Desktop
U0250,C0227,2021-08-23,47,Smart TV
U0138,C0427,2022-10-15,68,Laptop
U0406,C0164,2024-04-23,61,Mobile
U0450,C0315,2023-10-17,39,Desktop
U0282,C0136,2023-07-10,71,Desktop
U0285,C0369,2024-05-10,119,Smart TV
U0419,C0276,2023-08-20,9,Smart TV
U0818,C0076,2024-04-29,31,Mobile
U0604,C0005,2022-06-08,59,Smart TV
U0016,C0482,2023-02-05,44,Mobile
U0114,C0374,2023-11-15,63,Mobile
U0925,C0369,2022-07-04,76,Tablet
U0626,C0003,2023-04-21,63,Desktop
U0376,C0010,2023-02-26,85,Desktop
U0066,C0095,2023-05-31,73,Smart TV
U0391,C0416,2020-07-13,68,Tablet
U0107,C0412,2023-06-29,125,Desktop
U0198,C0363,2023-05-06,16,Mobile
U0847,C0366,2023-11-29,83,Desktop
U0504,C0240,2022-04-01,79,Desktop
U0820,C0223,2021-01-22,46,Smart TV
U0677,C0421,2024-06-12,0,Laptop
U0878,C0444,2023-08-23,97,Mobile
U0925,C0259,2023-08-24,96,Tablet
U0587,C0358,2023-12-05,51,Tablet
U0380,C0408,2021-09-19,25,Laptop
U0373,C0229,2024-02-05,72,Smart TV
U0165,C0300,2024-04-11,65,Tablet
U0367,C0182,2024-04-09,51,Laptop
U0488,C0382,2023-01-22,54,Laptop
U0591,C0294,2024-04-23,143,Mobile
U0753,C0050,2022-06-19,43,Tablet
U0257,C0223,2023-07-22,81,Smart TV
U0999,C0376,2024-04-19,52,Tablet
U0541,C0357,2023-10-30,46,Mobile
U0478,C0408,2024-04-21,105,Desktop
U0149,C0349,2023-10-22,103,Mobile
U0018,C0015,2023-03-28,33,Laptop
U0635,C0194,2024-02-12,111,Desktop
U0356,C0003,2023-10-19,34,Smart TV
U0852,C0171,2024-02-05,69,Mobile
U0320,C0081,2024-05-27,92,Tablet
U0705,C0088,2023-10-05,100,Smart TV
U0839,C0029,2023-11-28,68,Smart TV
U0693,C0131,2024-01-28,47,Mobile
U0660,C0398,2023-05-15,33,Tablet
U0826,C0411,2023-12-14,51,Laptop
U0140,C0278,2024-05-12,98,Tablet
U0557,C0344,2024-03-03,35,Mobile
U0851,C0336,2022-01-22,71,Laptop
U0586,C0351,2024-01-12,42,Tablet
U0213,C0454,2023-07-30,95,Tablet
U0488,C0307,2020-11-23,22,Tablet
U0150,C0458,2024-01-12,55,Laptop
U0682,C0226,2023-09-08,50,Smart TV
U0878,C0171,2023-03-26,89,Smart TV
U0420,C0473,2022-08-04,90,Smart TV
U0511,C0400,2023-12-28,35,Smart TV
U0683,C0312,2024-01-17,76,Laptop
U0886,C0229,2022-09-02,66,Mobile
U0651,C0311,2023-02-05,94,Desktop
U0521,C0340,2022-04-15,0,Tablet
U0340,C0310,2023-12-03,28,Mobile
U0769,C0211,2021-07-05,69,Mobile
U0240,C0482,2024-01-13,25,Smart TV
U0966,C0021,2024-02-18,61,Smart TV
U0141,C0110,2023-07-18,96,Tablet
U0047,C0386,2024-05-12,67,Mobile
U0254,C0080,2022-08-05,71,Mobile
U0843,C0140,2022-09-14,81,Mobile
U0049,C0455,2023-01-05,65,Laptop
U0495,C0057,2024-01-22,64,Smart TV
U0143,C0131,2021-10-31,101,Tablet
U0984,C0384,2023-07-18,73,Laptop
U0895,C0444,2023-05-13,44,Laptop
U0773,C0373,2024-02-16,82,Smart TV
U0915,C0168,2024-01-27,80,Mobile
U0688,C0213,2023-04-23,62,Laptop
U0189,C0339,2023-08-21,122,Smart TV
U0958,C0069,2020-07-23,48,Desktop
U0149,C0184,2023-11-16,25,Tablet
U0737,C0296,2021-11-15,92,Laptop
U0301,C0095,2024-02-27,0,Laptop
U0459,C0079,2022-12-12,79,Mobile
U0718,C0455,2024-04-04,65,Desktop
U0541,C0463,2024-02-29,66,Laptop
U0513,C0472,2022-10-19,76,Desktop
U0136,C0017,2023-12-28,89,Tablet
U0275,C0010,2021-07-26,62,Desktop
U0877,C0152,2023-01-22,93,Mobile
U0409,C0185,2022-03-17,70,Smart TV
U0176,C0223,2023-09-23,33,Desktop
U0524,C0323,2024-01-24,54,Mobile
U0561,C0374,2024-06-19,28,Desktop
U0838,C0150,2023-02-13,124,Smart TV
U0838,C0432,2022-03-12,42,Laptop
U0370,C0491,2024-02-06,102,Mobile
U0563,C0089,2021-02-05,53,Laptop
U0601,C0203,2023-12-14,75,Smart TV
U0165,C0410,2024-02-05,58,Laptop
U0628,C0493,2024-03-08,56,Smart TV
U0413,C0394,2024-06-12,64,Mobile
U0679,C0020,2024-05-21,55,Mobile
U0056,C0259,2024-04-08,104,Tablet
U0656,C0343,2023-08-08,63,Smart TV
U0732,C0334,2020-09-05,88,Desktop
U0973,C0129,2024-06-05,96,Mobile
U0564,C0388,2023-02-10,80,Desktop
U0149,C0166,2023-04-12,79,Laptop
U0232,C0450,2022-01-27,60,Desktop
U0562,C0420,2023-12-19,73,Mobile
U0518,C0044,2023-06-25,43,Mobile
U0263,C0277,2023-01-15,105,Mobile
U0100,C0052,2024-05-04,60,Smart TV
U0752,C0440,2024-05-18,87,Desktop
U0803,C0326,2023-07-25,44,Smart TV
U0308,C0271,2021-12-24,61,Tablet
U0708,C0398,2023-06-25,88,Smart TV
U0063,C0435,2022-12-29,101,Smart TV
U0064,C0270,2022-11-28,38,Mobile
U0999,C0016,2021-12-18,40,Laptop
U0413,C0466,2022-04-29,48,Tablet
U0084,C0402,2022-09-19,60,Desktop
U0583,C0357,2024-02-19,8,Smart TV
U0474,C0320,2024-06-07,79,Desktop
U0182,C0422,2023-10-20,56,Laptop
U0001,C0410,2024-03-16,51,Desktop
U0145,C0240,2023-12-22,45,Tablet
U0458,C0198,2023-09-19,24,Smart TV
U0486,C0037,2024-03-29,41,Desktop
U0564,C0023,2024-02-11,56,Laptop
U0399,C0476,2021-12-08,44,Mobile
U0914,C0095,2022-04-14,69,Laptop
U0784,C0464,2023-12-11,37,Desktop
U0334,C0343,2024-02-15,16,Laptop
U0961,C0414,2023-10-19,141,Laptop
U0332,C0382,2023-05-30,19,Mobile
U0163,C0234,2023-09-24,60,Mobile
U0393,C0438,2024-06-17,133,Laptop
U0750,C0484,2021-08-07,47,Desktop
U0916,C0451,2024-03-09,97,Desktop
U0227,C0019,2024-02-11,76,Mobile
U0122,C0390,2022-12-18,3,Laptop
U0485,C0120,2022-11-17,90,Laptop
U0530,C0360,2021-01-19,48,Laptop
U0632,C0153,2023-07-06,5,Smart TV
U0504,C0184,2022-07-24,93,Tablet
U0764,C0063,2023-11-20,62,Tablet
U0958,C0405,2024-01-15,55,Tablet
U0929,C0108,2024-02-24,91,Smart TV
U0556,C0436,2024-03-01,30,Laptop
U0185,C0046,2023-11-10,98,Laptop
U0779,C0425,2023-09-16,59,Smart TV
U0223,C0464,2023-06-25,72,Desktop
U0447,C0324,2022-11-30,0,Smart TV
U0789,C0337,2023-07-27,57,Laptop
U0551,C0225,2024-06-10,52,Mobile
U0965,C0256,2021-12-31,64,Smart TV
U0924,C0050,2024-06-06,58,Mobile
U0072,C0136,2023-09-23,0,Tablet
U0068,C0111,2023-02-10,48,Laptop
U0926,C0074,2024-01-28,83,Tablet
U0582,C0155,2023-02-01,36,Tablet
U0313,C0004,2024-05-24,44,Laptop
U0692,C0484,2024-06-27,46,Tablet
U0388,C0132,2022-06-27,100,Smart TV
U0712,C0313,2024-05-13,8,Laptop
U0953,C0189,2023-01-21,53,Smart TV
U0910,C0167,2022-01-12,84,Desktop
U0731,C0252,2023-10-28,47,Mobile
U0625,C0179,2023-08-29,31,Laptop
U0025,C0156,2024-06-08,44,Tablet
U0918,C0312,2022-05-24,82,Smart TV
U0559,C0013,2021-05-20,63,Mobile
U0283,C0105,2022-02-27,22,Laptop
U0881,C0361,2024-02-12,19,Smart TV
U0672,C0150,2022-09-08,93,Mobile
U0662,C0043,2023-07-10,82,Desktop
U0594,C0314,2023-09-16,67,Laptop
U0465,C0400,2023-03-07,42,Mobile
U0717,C0071,2020-11-30,97,Laptop
U0943,C0457,2024-01-09,93,Desktop
U0862,C0071,2023-10-05,80,Smart TV
U0323,C0250,2023-07-16,73,Desktop
U0638,C0475,2023-11-11,52,Tablet
U0910,C0343,2023-07-02,49,Laptop
U0350,C0078,2023-09-10,147,Mobile
U0241,C0053,2023-07-30,118,Tablet
U0671,C0227,2023-11-13,42,Tablet
U0181,C0305,2023-04-22,64,Smart TV
U0051,C0481,2022-11-18,97,Tablet
U0091,C0165,2023-11-19,52,Mobile
U0910,C0133,2024-01-28,35,Desktop
U0950,C0269,2024-05-16,72,Laptop
U0037,C0110,2022-09-05,29,Desktop
U0724,C0185,2023-12-19,50,Smart TV
U0235,C0401,2024-04-15,91,Tablet
U0377,C0257,2024-02-08,48,Mobile
U0747,C0495,2023-08-30,71,Mobile
